iter	RMSE
607	34876.9109
608	34865.87941
609	34847.62865
610	34836.6365
611	34824.8129
612	34808.28611
613	34789.89058
614	34771.09751
615	34753.53729
616	34742.03621
617	34726.03924
618	34712.38476
619	34703.02195
620	34686.10915
621	34670.64197
622	34647.58327
623	34639.17098
624	34628.8034
625	34620.68925
626	34604.65784
627	34592.93367
628	34577.12879
629	34563.87205
630	34552.75011
631	34542.24201
632	34529.33067
633	34513.96702
634	34505.18083
635	34496.21028
636	34485.07044
637	34474.61393
638	34459.31852
639	34444.63755
640	34429.4625
641	34410.4978
642	34391.84873
643	34376.90159
644	34358.5286
645	34346.95907
646	34326.96208
647	34311.1195
648	34297.04904
649	34284.13864
650	34278.23392
651	34264.26493
652	34249.4519
653	34234.7424
654	34222.6232
655	34212.5772
656	34201.80928
657	34188.65533
658	34175.87271
659	34157.83713
660	34141.69925
661	34127.50248
662	34112.68377
663	34098.44868
664	34082.34083
665	34058.26373
666	34050.18513
667	34041.99214
668	34028.15228
669	34016.96801
670	34003.61944
671	33993.10317
672	33979.54132
673	33970.09413
674	33955.29859
675	33947.81161
676	33934.97993
677	33917.21558
678	33911.60572
679	33898.60609
680	33887.53417
681	33872.80071
682	33864.465
683	33854.48208
684	33838.01342
685	33814.50386
686	33803.79483
687	33787.64209
688	33774.47609
689	33766.27952
690	33753.70566
691	33739.0212
692	33727.54906
693	33715.14785
694	33695.61134
695	33685.15188
696	33670.70927
697	33663.89332
698	33653.32385
699	33640.98237
700	33634.51192
701	33622.10663
702	33616.12853
703	33604.48739
704	33594.72924
705	33584.0234
706	33570.73676
707	33561.98477
708	33541.40264
709	33530.39103
710	33520.41511
711	33504.57087
712	33495.49656
713	33485.56848
714	33469.52419
715	33454.63052
716	33442.54074
717	33432.08958
718	33422.28779
719	33406.7639
720	33395.03924
721	33376.83295
722	33358.98474
723	33347.64129
724	33334.02452
725	33324.95941
726	33317.75317
727	33309.2322
728	33295.09743
729	33280.17525
730	33269.82694
731	33258.1363
732	33251.6763
733	33242.88741
734	33231.97997
735	33218.37747
736	33205.40152
737	33198.30014
738	33189.74138
739	33179.27031
740	33163.19051
741	33152.15581
742	33145.05965
743	33133.78825
744	33116.4564
745	33109.53296
746	33095.92659
747	33086.25592
748	33076.53075
749	33060.96037
750	33050.13942
751	33043.58562
752	33032.00617
753	33023.9907
754	33006.41237
755	32994.28095
756	32981.80742
757	32977.33513
758	32963.0025
759	32952.76686
760	32946.87643
761	32936.88937
762	32923.82632
763	32906.37526
764	32892.20436
765	32877.82524
766	32868.11455
767	32857.22944
768	32849.63847
769	32842.43684
770	32829.48126
771	32810.51797
772	32806.4525
773	32796.86346
774	32783.53615
775	32771.15467
776	32749.67006
777	32740.26545
778	32730.89485
779	32716.11063
780	32699.42678
781	32688.64224
782	32681.94753
783	32671.43072
784	32654.92467
785	32642.06902
786	32638.65713
787	32623.40366
788	32613.84385
789	32611.07821
790	32600.44554
791	32592.46554
792	32583.84388
793	32574.38337
794	32558.97797
795	32550.01732
796	32539.31767
797	32530.7662
798	32518.25793
799	32506.8132
800	32495.39882
801	32482.35667
802	32475.40666
803	32460.06255
804	32450.90683
805	32437.94647
806	32426.92667
807	32410.23243
808	32395.93222
809	32383.82064
810	32371.80217
811	32362.88308
812	32344.47206
813	32334.72316
814	32323.96885
815	32315.19097
816	32307.90703
817	32294.02054
818	32289.00467
819	32283.0233
820	32262.52169
821	32256.83454
822	32246.74537
823	32236.30603
824	32224.4962
825	32216.61545
826	32212.20165
827	32203.33416
828	32187.4151
829	32176.06963
830	32165.57866
831	32148.86306
832	32138.27692
833	32130.45503
834	32118.31361
835	32106.47184
836	32098.1916
837	32084.64741
838	32070.54039
839	32059.44634
840	32046.75774
841	32034.41463
842	32019.96591
843	32010.81506
844	31999.25391
845	31989.36546
846	31974.20621
847	31963.77739
848	31955.56156
849	31939.25748
850	31929.0154
851	31913.68298
852	31901.90059
853	31888.15674
854	31877.34355
855	31865.29262
856	31855.57744
857	31845.34516
858	31830.53759
859	31816.70822
860	31804.50259
861	31791.44015
862	31778.14592
863	31770.28885
864	31763.12887
865	31750.97404
866	31733.99125
867	31724.31335
868	31714.62608
869	31697.99882
870	31680.21556
871	31668.06363
872	31660.51698
873	31653.75547
874	31641.92153
875	31631.60797
876	31622.13304
877	31614.01779
878	31609.87782
879	31600.39283
880	31592.59836
881	31584.90816
882	31572.44765
883	31565.95086
884	31550.41805
885	31535.64184
886	31518.16458
887	31509.77979
888	31494.01315
889	31485.46282
890	31479.91783
891	31466.13488
892	31456.10952
893	31445.55608
894	31441.60867
895	31436.80185
896	31432.18677
897	31416.84159
898	31409.01002
899	31395.10113
900	31383.68593
901	31373.06589
902	31360.10454
903	31349.51775
904	31336.76605
905	31331.43247
906	31323.54812
907	31310.57352
908	31304.20168
909	31291.6634
910	31284.08701
911	31268.27679
912	31249.49865
913	31241.70351
914	31232.53777
915	31221.44935
916	31210.56809
917	31196.2045
918	31186.25229
919	31177.2984
920	31170.18966
921	31161.8762
922	31151.8205
923	31138.75811
924	31131.35709
925	31124.01904
926	31115.08894
927	31106.30718
928	31095.52633
929	31088.5133
930	31076.34818
931	31070.24284
932	31060.44013
933	31047.63129
934	31035.07826
935	31025.75934
936	31013.89002
937	31002.26277
938	30984.63286
939	30976.35372
940	30965.67073
941	30953.26093
942	30943.40673
943	30933.56959
944	30929.14515
945	30920.68022
946	30911.01749
947	30896.18011
948	30883.35934
949	30867.20756
950	30858.20129
951	30841.5907
952	30833.5399
953	30824.11037
954	30808.25149
955	30799.48183
956	30792.57236
957	30780.12247
958	30774.09292
959	30764.93327
960	30754.53857
961	30741.29211
962	30731.83455
963	30726.4411
964	30719.60118
965	30713.11437
966	30704.47292
967	30696.50357
968	30684.69716
969	30674.69186
970	30665.28303
971	30654.24972
972	30639.10471
973	30626.74199
974	30621.25217
975	30611.54204
976	30602.23452
977	30598.28967
978	30594.12254
979	30587.9484
980	30579.40005
981	30568.80467
982	30553.11001
983	30545.13919
984	30536.39122
985	30524.57002
986	30518.70594
987	30508.88492
988	30499.34227
989	30488.48896
990	30480.29848
991	30471.43338
992	30463.1027
993	30441.057
994	30433.77518
995	30425.9465
996	30418.36118
997	30413.36155
998	30405.19629
999	30397.75849
